file_name,score,pitch,yaw,roll
0,0.0142988667992788,47.787,-56.25,344
1,0.0173159500868087,145.171,-69.75,234
2,0.0216297816514289,262.616,-76.05,112
3,0.024796995613894,145.171,-69.75,225
4,0.0252884768697045,128.036,-27.45,26
5,0.0241868178704657,230.155,-71.55,132
6,0.0253609399071257,145.171,-69.75,211
7,0.0179538242413067,330.466,-35.55,198
8,0.0169834331321154,230.155,-71.55,119
9,0.0186926203983303,230.155,-71.55,116
10,0.0150215047143954,230.155,-71.55,112
11,0.0121006499490353,230.155,-71.55,108
12,0.0149269951126328,270.28,-57.15,64
13,0.0172799245956136,270.28,-57.15,59
14,0.0262021533354902,270.28,-57.15,55
15,0.0318781583177831,322.803,-54.45,1
16,0.0317902325486646,322.803,-54.45,174
17,0.030278509580616,323.921,75.15,271
18,0.0096845572562251,271.398,72.45,211
19,0.0055913964478481,271.398,72.45,207
23,0.0908822689869359,310.404,-42.75,333
24,0.0665991973913768,36.506,85.05,40
25,0.0900693893892105,263.734,53.55,164
31,0.0075932533504682,242.554,-83.25,262
32,0.0026624806250885,4.045,89.55,139
33,0.0033535413664104,190.031,-85.95,298
34,0.0059195897103076,174.014,85.95,298
35,0.0079396719803132,256.071,34.65,246
36,0.0101966240142373,89.03,87.75,200
37,0.0095887080042431,105.047,-84.15,356
38,0.0092658897388918,105.047,-84.15,351
39,0.010643297420438,174.014,85.95,266
40,0.010446668765161,174.014,85.95,259
41,0.0154725713257632,4.045,89.55,82
42,0.0514002697328854,226.537,88.65,299
43,0.0543816204658502,87.911,-41.85,323
44,0.0194816994470921,243.672,46.35,188
45,0.0440082691799716,310.404,-42.75,15
46,0.0522448577801484,100.311,-53.55,47
47,0.0280361869013494,310.404,-42.75,5
48,0.0217628310341587,118.564,33.75,239
49,0.0199197927073117,118.564,33.75,233
50,0.032522393210757,328.657,44.55,278
51,0.0141691539808154,132.772,-58.05,342
52,0.0712604484120916,95.575,-22.95,275
53,0.0955762474250837,8.781,58.95,107
56,0.0207207626365478,282.679,-68.85,170
57,0.0074109339861277,145.171,-69.75,303
58,0.026186793487816,145.171,-69.75,299
59,0.0167118228703019,145.171,-69.75,294
60,0.0178426371531597,262.616,-76.05,171
61,0.0171056922999463,262.616,-76.05,167
62,0.018794966753352,145.171,-69.75,281
63,0.0156255884589632,262.616,-76.05,159
64,0.0081667450975123,262.616,-76.05,153
65,0.0089418821252573,262.616,-76.05,149
66,0.0162420938619085,145.171,-69.75,262
67,0.0132544924143416,47.787,-56.25,4
68,0.0127189834753468,47.787,-56.25,359
69,0.0148488978746736,47.787,-56.25,355
70,0.0176344873235789,145.171,-69.75,244
71,0.0130117130464874,145.171,-69.75,240
